None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
101,356,306,114,47,0.0,0,0,0,0,12.684,54.756,122,2,45,50.425,641,37,10,0,0,2,1226,0,18,30027,4.331,1293,30,16,72,3.635,87,0.155
440,1874,3645,4032,1952,0.0,304,35,0,0,20.223,47.282,1477,78,380,50.512,8839,2665,40,295,11,498,13620,485,664,41408,1.405,17861,424,91,1282,5.571,1277,0.342
569,2175,4568,8676,7548,0.0,1115,130,0,0,16.155,49.071,2344,314,1572,50.912,16770,1243,23,1320,24,1154,29968,504,380,51604,1.142,34163,800,615,2188,5.91,2019,0.088
870,1928,1858,829,485,0.0,58,0,0,0,24.876,34.037,1091,195,742,53.621,4111,2226,0,78,0,178,6219,54,163,23957,3.96,8864,52,118,380,5.618,532,0.925
20165,41444,45946,23616,14262,0.0,2070,811,0,0,38.329,23.239,25625,6685,12242,53.132,99370,149512,469,1973,42,7811,49614,3080,3321,21459,4.987,212021,3157,3117,9722,3.886,8638,1.898
878,818,399,58,29,0.0,5,0,0,0,41.724,18.759,504,231,122,29.931,2032,1848,30,5,0,52,948,7,35,9803,2.276,2900,10,7,77,2.448,144,0.138
168,185,205,78,36,0.0,0,0,0,0,32.576,29.167,112,33,53,56.25,462,468,0,0,0,61,495,12,39,14483,9.564,1056,25,16,39,4.545,62,0.379
1178,1650,2210,744,488,0.0,16,0,0,0,20.423,39.349,952,108,729,49.984,4778,276,0,5,0,816,8363,28,93,21693,1.811,9553,122,74,555,5.496,515,0.775
534,1950,2321,1195,829,0.0,172,91,0,0,19.413,41.655,1133,191,551,53.345,4470,1389,0,249,0,400,7529,13,53,29935,2.818,9581,98,44,579,5.887,476,0.01
614,3046,3377,1722,1019,0.0,240,0,0,0,18.566,46.919,1141,105,1084,51.921,6671,1546,36,347,0,400,11510,311,57,33796,2.494,13875,184,253,651,4.086,744,0.677
1245,3640,3721,1013,603,0.0,31,17,0,0,20.952,37.425,1752,379,949,51.563,7548,6114,0,55,9,281,8980,243,121,26510,3.363,15583,285,275,780,4.492,716,0.456
2596,4891,4820,1570,1607,0.0,217,24,0,0,29.835,30.884,2475,690,1628,54.538,9967,11412,17,371,0,312,9115,40,733,19949,4.657,21924,472,330,857,3.667,956,2.947
81,121,160,122,40,0.0,15,3,0,0,24.198,35.569,119,25,25,55.248,307,448,0,15,0,60,146,4,19,30854,3.936,686,11,7,24,4.082,26,0.729
736,1574,1298,643,436,0.0,0,0,0,0,30.197,27.277,930,85,585,54.264,3164,3918,14,0,0,47,2928,47,11,23306,4.857,6918,101,32,335,6.346,530,0.737
1566,3493,3481,1122,641,0.0,124,0,0,0,21.313,37.514,1865,459,1085,53.901,6664,4792,112,250,0,653,8400,60,457,20830,5.23,14456,286,195,837,4.773,709,1.024
785,2441,2019,651,173,0.0,181,0,0,0,27.276,35.486,920,225,576,51.789,4486,3697,15,216,0,348,4970,0,59,23939,2.644,9305,140,83,414,6.985,471,0.58
116,371,198,34,15,0.0,2,0,0,0,14.221,46.105,111,26,43,54.71,500,4,13,2,0,15,1070,0,12,24886,0.543,1104,5,4,87,4.529,60,0.0
6390,9908,12028,6554,2637,0.0,228,46,0,18,23.897,37.084,5916,1576,3454,52.628,25873,12382,164,303,0,7298,33284,3257,1355,24875,2.541,54617,813,694,2970,4.936,2771,0.417
747,1661,1559,675,239,0.0,60,0,0,0,22.348,44.985,709,283,285,53.076,3097,1749,0,85,0,20,4463,20,283,30648,2.97,6600,44,75,273,3.803,295,1.076
582,2045,3883,4720,2847,0.0,197,0,0,0,16.894,46.298,1910,279,1266,54.519,9245,966,11,307,0,791,18062,295,139,35603,1.865,20327,335,188,1248,6.563,1462,0.212
881,2957,3530,1550,976,0.0,185,0,0,0,20.493,46.81,1222,91,770,50.746,7095,895,24,295,0,239,12842,52,110,26998,1.527,14405,317,288,647,4.714,848,0.423
1124,1376,1599,1187,707,0.0,65,92,0,0,19.601,40.038,1003,174,598,52.023,4019,947,14,84,3,212,6980,47,143,23942,2.28,8377,165,105,296,5.766,334,0.621
246,980,1166,1600,627,0.0,12,0,0,0,19.318,49.384,580,60,344,49.502,2993,38,0,18,0,46,5727,7,128,36722,2.463,5927,134,12,229,4.15,168,0.253
963,2184,1791,593,297,0.0,68,8,0,0,30.619,29.695,1047,136,472,50.16,4530,3593,28,40,0,320,4974,142,142,21642,2.718,9089,203,135,516,6.447,364,0.803
2565,3690,2969,810,680,0.0,32,0,0,0,35.403,24.339,1941,572,1312,49.651,7859,7851,77,35,0,704,6817,82,193,17197,6.208,15609,163,137,838,4.164,726,0.794
113,216,119,58,38,0.0,0,0,0,0,18.394,39.249,63,20,76,52.202,369,288,0,0,0,38,438,10,13,22604,0.777,772,9,9,51,4.793,13,0.518
121,246,178,58,38,0.0,0,0,0,0,10.226,50.161,85,20,75,57.804,392,1,13,0,0,4,816,0,95,21016,2.045,929,11,2,47,5.167,51,0.323
64,383,1552,6113,5304,0.0,253,67,0,0,15.978,53.23,784,23,741,52.311,9760,195,19,332,29,198,19618,0,87,69446,0.86,20466,728,280,1230,6.494,1561,0.078
551,562,347,140,62,0.0,0,0,0,0,42.027,19.809,182,101,201,52.907,1134,1924,0,0,0,0,479,0,5,13875,9.427,2408,13,44,137,4.817,67,0.374
19289,33346,36751,24452,16871,0.0,4767,1069,0,0,32.681,29.659,20268,4951,9828,53.037,94000,121381,341,5655,27,7128,62604,2443,3723,25038,3.766,200156,2725,2890,11310,5.159,10127,0.608
359,1132,880,449,159,0.0,65,0,0,0,20.319,37.514,507,126,315,51.745,2116,1134,0,65,6,174,2912,0,237,21463,3.352,4385,131,95,330,1.71,138,0.228
449,704,477,177,101,0.0,0,0,0,0,39.149,22.775,217,87,171,51.949,1479,2697,0,0,0,0,370,0,11,13855,6.693,3078,53,48,175,6.985,133,0.617
706,1400,587,311,238,0.0,3,8,0,0,25.611,32.421,609,191,457,47.217,2333,1279,5,0,0,77,2952,134,34,19184,1.335,4420,31,90,146,2.738,245,1.448
1060,1392,834,133,86,0.0,0,0,0,0,40.682,22.996,535,210,306,27.975,3486,2335,8,0,0,134,2330,9,60,18119,0.599,4840,0,86,76,6.942,186,0.372
170,434,445,94,59,0.0,32,0,0,0,17.712,37.921,226,47,151,54.007,792,213,14,37,0,14,1421,0,33,23794,3.31,1722,8,23,69,6.156,86,0.407
1400,4243,4977,3659,2547,0.0,86,18,0,0,26.849,37.227,2252,142,1380,52.716,12037,6725,34,166,0,944,17489,243,135,29264,2.306,25457,490,420,1248,4.49,1071,0.35
668,1159,1139,242,182,0.0,25,0,0,0,28.985,29.104,413,190,516,56.772,2167,1233,0,0,0,190,3659,54,67,21387,8.219,5013,89,39,259,6.742,172,0.858
453,2918,5007,4049,2222,0.0,161,0,0,0,13.963,48.133,1848,161,1133,52.709,10272,1342,10,220,0,237,18995,91,951,45403,1.676,21721,603,315,1312,6.003,1306,0.52
661,902,748,278,65,0.0,25,0,0,0,25.441,35.462,470,105,307,50.857,1893,1497,9,78,0,20,2150,12,98,20198,4.933,3852,36,31,179,3.427,115,0.519
1293,3057,5740,3909,1966,0.0,218,88,0,0,22.619,45.048,2349,141,745,52.237,11101,2462,82,491,0,3021,17129,1908,263,36613,2.229,23242,400,189,1311,5.159,1468,0.155
67,421,350,173,67,0.0,0,0,0,0,18.533,43.591,127,6,86,51.501,840,178,0,0,0,81,1450,20,13,40000,1.155,1732,35,32,120,4.273,99,0.173
1848,2960,3470,1127,609,0.0,65,0,0,0,23.569,37.473,1662,285,990,53.834,6750,4872,49,135,0,795,8694,540,121,21384,4.63,14621,239,208,926,4.22,814,2.148
381,558,497,107,34,0.0,0,0,0,0,14.852,38.715,327,85,88,54.234,1097,362,0,4,0,92,1833,11,108,25032,4.339,2397,12,48,144,5.006,95,0.0
603,420,343,77,14,0.0,365,0,0,0,29.679,30.392,260,39,94,51.247,1232,377,10,670,0,143,1215,0,112,19146,0.95,2527,55,55,150,4.947,112,1.425
5848,15016,14406,11761,8584,0.0,2181,290,8,0,44.003,26.929,7775,1562,3732,52.364,47103,43559,272,2401,73,3067,48716,947,1084,20264,3.559,98881,1301,981,3777,4.268,3467,0.52
1140,1059,1523,467,308,0.0,0,0,0,52,14.57,43.954,698,96,582,52.502,3123,533,10,35,0,848,4923,174,62,24573,1.643,6575,38,0,372,6.51,333,0.259
99,161,181,61,38,0.0,11,0,0,0,15.385,53.989,74,13,49,54.701,318,0,0,11,0,13,678,0,0,30000,1.709,702,10,10,26,2.849,27,0.285
231,414,276,70,67,0.0,0,0,0,0,18.791,37.946,162,16,216,54.188,629,39,33,0,0,15,1261,0,25,17330,3.569,1373,3,11,58,5.39,63,0.728
139,315,278,45,47,0.0,0,0,0,0,15.623,38.688,149,12,106,49.3,688,4,41,0,0,11,1275,0,26,24234,1.842,1357,11,29,83,5.822,81,0.368
682,1221,1137,274,66,0.0,0,0,0,0,21.597,35.834,685,28,377,50.817,2439,1279,63,0,0,194,3423,194,0,23368,3.589,4959,15,65,233,5.747,369,1.291
160,415,219,80,72,0.0,12,0,0,0,18.697,34.483,247,16,86,57.011,561,78,14,12,0,9,1192,0,0,22424,5.211,1305,22,5,83,3.218,38,0.383
2490,5027,5270,3686,1470,0.0,182,47,0,0,25.191,38.747,2586,472,1855,51.732,12152,4283,239,323,24,1872,17875,581,698,24183,4.659,25176,213,261,1196,4.33,1232,0.052
41,260,313,202,202,0.0,4,0,0,0,14.646,58.503,162,9,53,46.867,653,0,0,4,0,35,1167,7,23,35676,2.116,1229,0,12,43,2.848,32,0.325
193,305,222,38,37,0.0,3,0,0,0,14.298,45.278,133,23,103,50.75,558,0,33,0,0,130,993,89,7,20409,2.207,1133,17,7,66,5.031,62,0.265
510,1646,2985,5284,5032,0.0,562,184,0,0,31.397,38.148,1806,250,763,52.491,12160,3289,27,688,0,1040,20106,401,465,39891,1.715,25595,513,213,1494,4.138,1532,0.293
1019,2406,2261,1910,992,0.0,80,94,0,0,28.652,33.157,1477,308,564,54.353,5694,4913,10,109,0,1148,5861,900,202,30394,3.078,12474,67,80,908,6.51,818,0.593
829,1681,1279,309,94,0.0,27,0,34,0,34.385,22.778,775,199,447,51.932,2986,3363,80,50,42,612,1860,683,40,17607,4.137,6212,89,120,420,5.393,203,1.755
3553,7471,7692,4386,2819,0.0,557,44,0,0,29.112,34.662,4542,650,3014,52.728,18958,7827,188,362,61,1524,29531,102,739,22283,2.561,40104,347,420,2014,3.339,1262,0.514
975,1731,1548,364,227,0.0,0,0,0,0,22.644,44.463,707,51,419,50.285,3313,603,7,0,0,176,5771,22,231,22107,2.926,6664,88,39,323,2.386,290,0.345
930,1580,1087,569,234,0.0,0,0,0,0,30.864,28.427,793,163,624,52.263,3016,3780,0,0,0,165,2248,39,125,20730,3.229,6318,68,24,265,4.036,288,1.393
996,1962,1698,632,400,0.0,39,0,0,0,22.3,38.037,915,60,533,53.24,3940,2090,55,49,0,319,5560,255,400,22751,2.255,8426,96,78,466,6.219,468,0.309
252,440,318,228,64,0.0,8,0,0,0,17.699,45.511,159,1,150,54.283,886,110,8,8,0,176,1630,82,34,30083,2.632,1938,4,23,111,7.018,133,0.31
15014,38493,39647,23367,13753,0.0,2935,525,9,0,32.483,29.936,21112,5066,11621,52.576,90810,96974,381,3363,22,4923,82552,1584,3348,23988,2.995,191485,3610,1962,9047,4.453,10433,0.842
1408,3792,3236,1434,716,0.0,71,0,0,0,18.648,43.774,1462,357,1122,53.459,6761,866,100,116,58,621,12608,267,237,23754,1.914,14527,148,247,749,4.247,616,1.329
1594,2823,2381,876,506,0.0,43,0,0,0,28.432,33.794,1070,283,873,52.242,5869,6021,9,54,0,402,5599,328,212,20398,4.777,12289,120,181,595,6.144,895,0.61
357,1296,714,101,72,0.0,44,0,0,0,22.406,43.253,382,78,351,52.664,1519,669,0,44,0,0,2487,0,9,21108,4.176,3209,34,0,132,2.929,137,0.312
245,909,762,302,188,0.0,32,0,0,0,20.034,35.354,407,81,17,51.978,2282,1197,0,46,0,469,2861,253,179,36615,1.389,4752,70,75,473,7.471,465,0.189
76,231,278,145,73,0.0,2,0,0,0,17.14,46.99,112,23,52,55.686,530,46,0,0,0,148,1002,0,0,29964,3.428,1196,9,9,85,4.766,76,0.084
5,119,80,49,12,0.0,0,0,0,0,22.042,40.371,26,21,6,61.949,164,185,100,0,0,0,146,0,0,19609,0.232,431,0,37,11,11.601,18,1.392
873,3095,3078,1791,838,0.0,100,28,0,0,20.398,43.47,1327,159,917,53.128,6503,1643,142,102,0,312,11524,187,176,27928,2.487,13874,219,158,679,5.19,576,0.62
3179,4084,3909,1606,595,0.0,143,2,0,0,19.212,37.987,2044,284,1289,50.596,10602,735,54,124,0,6489,13886,634,318,22246,0.89,21460,301,413,1638,6.389,1260,0.112
396,656,561,135,42,0.0,0,0,0,0,24.078,34.37,337,116,178,48.963,1329,717,63,0,0,135,1742,0,27,17818,2.957,2604,18,34,68,5.069,176,0.614
640,1159,1205,357,150,0.0,55,0,0,0,23.959,31.919,780,142,383,53.706,2367,974,0,55,0,678,3261,391,239,19795,3.325,5113,82,45,260,3.09,247,0.156
793,2149,2834,895,381,0.0,10,36,0,0,38.703,21.437,1343,375,847,58.508,4477,9994,17,0,0,120,527,4,248,22642,6.803,10790,219,159,350,4.189,508,2.076
162,321,161,69,15,0.0,0,0,0,0,15.229,33.979,186,49,55,50.792,559,292,73,0,0,51,684,5,46,22763,3.081,1136,15,5,105,6.162,33,0.352
