State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More,Total
Alabama,La Fayette,2945,1861,16,30,0,122,916,90,0,3035
Alabama,Altoona,890,12,0,2,0,30,832,4,14,894
Alabama,Benton,47,0,0,0,0,0,47,0,0,47
Alabama,Mosses,1073,1070,0,0,0,0,0,0,3,1073
Alabama,Ohatchee,1293,37,10,0,0,2,1226,0,18,1293
Alabama,Saks,10763,2577,141,219,9,410,7224,195,309,11084
Alabama,New Brockton,1127,172,49,3,0,19,833,2,49,1127
Alabama,Madrid,301,52,0,3,0,11,235,0,0,301
Alabama,Oakman,691,135,0,4,0,16,520,0,32,707
Alabama,Toxey,118,38,0,0,0,0,80,0,0,118
Alabama,Sylvan Springs,1670,85,4,9,0,9,1558,0,5,1670
Alabama,Helena,17861,2665,40,295,11,498,13620,485,664,18278
Alabama,Hoover,84480,14665,137,4172,17,5261,58733,2348,1694,87027
Alabama,Midfield,5158,4345,0,6,0,382,499,181,61,5474
Alabama,Vestavia Hills,34163,1243,23,1320,24,1154,29968,504,380,34616
Alabama,Andalusia,8864,2226,0,78,0,178,6219,54,163,8918
Alabama,Horn Hill,262,0,0,0,0,2,260,0,0,262
Alabama,Onycha,119,0,0,0,0,0,119,0,0,119
Alabama,Red Level,324,8,0,0,0,6,310,0,0,324
Alabama,Birmingham,212021,149512,469,1973,42,7811,49614,3080,3321,215822
Alabama,Fort Deposit,1630,1359,0,0,0,0,271,0,0,1630
Alabama,Reece City,729,9,0,14,0,53,645,0,8,729
Alabama,Trafford,640,54,0,0,0,0,556,0,30,640
Alabama,Rock Creek,1369,25,22,0,0,46,1298,0,24,1415
Alabama,Babbie,557,3,0,0,0,7,523,0,24,557
Alabama,Shorter,433,302,0,0,0,0,129,0,2,433
Alabama,Tuskegee,8699,8469,10,50,0,167,126,0,10,8832
Alabama,Clayton,2900,1848,30,5,0,52,948,7,35,2925
Alabama,Heath,339,40,0,0,0,3,296,0,0,339
Alabama,Opp,6520,1382,43,8,0,58,4947,0,119,6557
Alabama,Hayneville,1028,953,0,0,0,0,75,0,0,1028
Alabama,Carrollton,1056,468,0,0,0,61,495,12,39,1075
Alabama,Boaz,9553,276,0,5,0,816,8363,28,93,9581
Alabama,Rainbow City,9581,1389,0,249,0,400,7529,13,53,9633
Alabama,Lowndesboro,99,5,0,0,0,0,94,0,0,99
Alabama,Alexandria,4000,602,18,0,0,65,3315,0,0,4000
Alabama,Brookside,1538,425,5,3,0,3,1102,0,0,1538
Alabama,Forestdale,9273,6814,47,34,0,257,2026,111,84,9373
Alabama,Gardendale,13875,1546,36,347,0,400,11510,311,57,14207
Alabama,Grayson Valley,5986,2628,0,93,0,303,2978,79,58,6139
Alabama,Graysville,1965,527,0,0,0,0,1379,0,59,1965
Alabama,Hueytown,15583,6114,0,55,9,281,8980,243,121,15803
Alabama,Berry,1400,48,0,4,0,0,1311,0,37,1400
Alabama,Belk,243,0,0,0,0,0,243,0,0,243
Alabama,Anniston,21924,11412,17,371,0,312,9115,40,733,22000
Alabama,Atmore,9746,5413,66,30,72,117,3863,93,193,9847
Alabama,Mignon,974,221,8,0,0,0,704,0,41,974
Alabama,Triana,686,448,0,15,0,60,146,4,19,692
Alabama,Meadowbrook,9387,260,0,24,0,203,8875,11,25,9398
Alabama,Dayton,26,5,0,0,0,0,21,0,0,26
Alabama,Demopolis,6918,3918,14,0,0,47,2928,47,11,6965
Alabama,Sweet Water,326,34,0,0,0,0,292,0,0,326
Alabama,Huguley,2273,532,0,91,0,6,1644,0,0,2273
Alabama,Shiloh,321,0,23,0,0,0,289,0,9,321
Alabama,Ozark,14456,4792,112,250,0,653,8400,60,457,14724
Alabama,Goldville,33,0,0,0,0,1,32,0,0,33
Alabama,Waverly,154,22,0,0,0,0,132,0,0,154
Alabama,Valley,9305,3697,15,216,0,348,4970,0,59,9305
Alabama,Littleville,1104,4,13,2,0,15,1070,0,12,1116
Alabama,Bear Creek,1256,0,7,0,0,24,1195,24,30,1280
Alabama,Lexington,927,12,8,0,0,13,891,0,10,934
Alabama,Decatur,54617,12382,164,303,0,7298,33284,3257,1355,58043
Alabama,Lincoln,6600,1749,0,85,0,20,4463,20,283,6620
Alabama,Woodland,204,14,0,0,0,1,189,0,0,204
Alabama,Fairhope,20327,966,11,307,0,791,18062,295,139,20571
Alabama,Hartselle,14405,895,24,295,0,239,12842,52,110,14457
Alabama,North Johns,188,74,0,0,0,0,113,0,1,188
Alabama,Powell,1089,35,16,0,0,0,995,0,43,1089
Alabama,Camp Hill,1101,1011,0,0,0,12,75,5,5,1108
