State,City,Nursery-Pre-School,Kindergarten,1st-4th,5th-8th,9th-12th
Alabama,La Fayette,57,9,150,208,138
Alabama,Altoona,5,7,66,38,76
Alabama,Benton,0,0,1,3,0
Alabama,Mosses,41,0,74,74,51
Alabama,Ohatchee,30,16,72,47,87
Alabama,Saks,76,107,583,941,536
Alabama,New Brockton,20,19,39,47,58
Alabama,Madrid,5,2,11,33,23
Alabama,Oakman,11,6,25,51,82
Alabama,Toxey,0,3,3,13,0
Alabama,Sylvan Springs,14,22,137,53,66
Alabama,Helena,424,91,1282,995,1277
Alabama,Hoover,1995,1368,4384,4385,5159
Alabama,Midfield,37,79,326,168,298
Alabama,Vestavia Hills,800,615,2188,2019,2019
Alabama,Andalusia,52,118,380,498,532
Alabama,Horn Hill,0,5,19,6,10
Alabama,Onycha,0,5,15,4,8
Alabama,Red Level,7,10,12,11,9
Alabama,Birmingham,3157,3117,9722,8240,8638
Alabama,Fort Deposit,41,54,110,176,58
Alabama,Reece City,3,6,20,37,41
Alabama,Trafford,0,10,39,21,41
Alabama,Rock Creek,0,0,70,72,29
Alabama,Babbie,6,0,17,37,35
Alabama,Shorter,9,0,20,8,35
Alabama,Tuskegee,199,69,253,285,331
Alabama,Clayton,10,7,77,71,144
Alabama,Heath,12,5,51,22,14
Alabama,Opp,194,138,277,293,350
Alabama,Hayneville,25,22,26,41,44
Alabama,Carrollton,25,16,39,48,62
Alabama,Boaz,122,74,555,525,515
Alabama,Rainbow City,98,44,579,564,476
Alabama,Lowndesboro,0,0,6,5,0
Alabama,Alexandria,81,49,230,257,160
Alabama,Brookside,50,20,136,167,96
Alabama,Forestdale,103,106,513,435,565
Alabama,Gardendale,184,253,651,567,744
Alabama,Grayson Valley,217,110,215,354,386
Alabama,Graysville,34,32,37,145,91
Alabama,Hueytown,285,275,780,700,716
Alabama,Berry,30,12,72,73,94
Alabama,Belk,0,2,4,9,23
Alabama,Anniston,472,330,857,804,956
Alabama,Atmore,56,179,201,342,609
Alabama,Mignon,9,33,71,74,53
Alabama,Triana,11,7,24,28,26
Alabama,Meadowbrook,96,140,420,729,543
Alabama,Dayton,0,0,6,4,2
Alabama,Demopolis,101,32,335,439,530
Alabama,Sweet Water,2,22,7,53,14
Alabama,Huguley,22,3,101,55,126
Alabama,Shiloh,6,7,19,15,8
Alabama,Ozark,286,195,837,690,709
Alabama,Goldville,0,0,2,2,2
Alabama,Waverly,0,5,4,0,5
Alabama,Valley,140,83,414,650,471
Alabama,Littleville,5,4,87,50,60
Alabama,Bear Creek,14,4,67,34,53
Alabama,Lexington,5,10,45,55,76
Alabama,Decatur,813,694,2970,2696,2771
Alabama,Lincoln,44,75,273,251,295
Alabama,Woodland,0,0,3,2,21
Alabama,Fairhope,335,188,1248,1334,1462
Alabama,Hartselle,317,288,647,679,848
Alabama,North Johns,2,0,13,7,10
Alabama,Powell,7,16,51,40,50
Alabama,Camp Hill,10,14,20,62,16
Alabama,Lineville,60,75,142,174,181
