None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
101,356,306,114,47,,0,0,0,0,164,708,122,2,45,652,641,37,10,0,0,2,1226,0,18,30027,56,1293,30,16,72,47,87,2
440,1874,3645,4032,1952,,304,35,0,0,3612,8445,1477,78,380,9022,8839,2665,40,295,11,498,13620,485,664,41408,251,17861,424,91,1282,995,1277,61
569,2175,4568,8676,7548,,1115,130,0,0,5519,16764,2344,314,1572,17393,16770,1243,23,1320,24,1154,29968,504,380,51604,390,34163,800,615,2188,2019,2019,30
870,1928,1858,829,485,,58,0,0,0,2205,3017,1091,195,742,4753,4111,2226,0,78,0,178,6219,54,163,23957,351,8864,52,118,380,498,532,82
20165,41444,45946,23616,14262,,2070,811,0,0,81265,49272,25625,6685,12242,112651,99370,149512,469,1973,42,7811,49614,3080,3321,21459,10574,212021,3157,3117,9722,8240,8638,4025
878,818,399,58,29,,5,0,0,0,1210,544,504,231,122,868,2032,1848,30,5,0,52,948,7,35,9803,66,2900,10,7,77,71,144,4
168,185,205,78,36,,0,0,0,0,344,308,112,33,53,594,462,468,0,0,0,61,495,12,39,14483,101,1056,25,16,39,48,62,4
1178,1650,2210,744,488,,16,0,0,0,1951,3759,952,108,729,4775,4778,276,0,5,0,816,8363,28,93,21693,173,9553,122,74,555,525,515,74
534,1950,2321,1195,829,,172,91,0,0,1860,3991,1133,191,551,5111,4470,1389,0,249,0,400,7529,13,53,29935,270,9581,98,44,579,564,476,1
614,3046,3377,1722,1019,,240,0,0,0,2576,6510,1141,105,1084,7204,6671,1546,36,347,0,400,11510,311,57,33796,346,13875,184,253,651,567,744,94
1245,3640,3721,1013,603,,31,17,0,0,3265,5832,1752,379,949,8035,7548,6114,0,55,9,281,8980,243,121,26510,524,15583,285,275,780,700,716,71
2596,4891,4820,1570,1607,,217,24,0,0,6541,6771,2475,690,1628,11957,9967,11412,17,371,0,312,9115,40,733,19949,1021,21924,472,330,857,804,956,646
81,121,160,122,40,,15,3,0,0,166,244,119,25,25,379,307,448,0,15,0,60,146,4,19,30854,27,686,11,7,24,28,26,5
736,1574,1298,643,436,,0,0,0,0,2089,1887,930,85,585,3754,3164,3918,14,0,0,47,2928,47,11,23306,336,6918,101,32,335,439,530,51
1566,3493,3481,1122,641,,124,0,0,0,3081,5423,1865,459,1085,7792,6664,4792,112,250,0,653,8400,60,457,20830,756,14456,286,195,837,690,709,148
785,2441,2019,651,173,,181,0,0,0,2538,3302,920,225,576,4819,4486,3697,15,216,0,348,4970,0,59,23939,246,9305,140,83,414,650,471,54
116,371,198,34,15,,2,0,0,0,157,509,111,26,43,604,500,4,13,2,0,15,1070,0,12,24886,6,1104,5,4,87,50,60,0
6390,9908,12028,6554,2637,,228,46,0,18,13052,20254,5916,1576,3454,28744,25873,12382,164,303,0,7298,33284,3257,1355,24875,1388,54617,813,694,2970,2696,2771,228
747,1661,1559,675,239,,60,0,0,0,1475,2969,709,283,285,3503,3097,1749,0,85,0,20,4463,20,283,30648,196,6600,44,75,273,251,295,71
582,2045,3883,4720,2847,,197,0,0,0,3434,9411,1910,279,1266,11082,9245,966,11,307,0,791,18062,295,139,35603,379,20327,335,188,1248,1334,1462,43
881,2957,3530,1550,976,,185,0,0,0,2952,6743,1222,91,770,7310,7095,895,24,295,0,239,12842,52,110,26998,220,14405,317,288,647,679,848,61
1124,1376,1599,1187,707,,65,92,0,0,1642,3354,1003,174,598,4358,4019,947,14,84,3,212,6980,47,143,23942,191,8377,165,105,296,483,334,52
246,980,1166,1600,627,,12,0,0,0,1145,2927,580,60,344,2934,2993,38,0,18,0,46,5727,7,128,36722,146,5927,134,12,229,246,168,15
963,2184,1791,593,297,,68,8,0,0,2783,2699,1047,136,472,4559,4530,3593,28,40,0,320,4974,142,142,21642,247,9089,203,135,516,586,364,73
