State,City,Violent_Crime
ALABAMA,Abbeville,18.0
ALABAMA,Ohatchee,2.0
ALABAMA,Oneonta,17.0
ALABAMA,Opelika,168.0
ALABAMA,Orange Beach,15.0
ALABAMA,Owens Crossroads,6.0
ALABAMA,Oxford,67.0
ALABAMA,Ozark,148.0
ALABAMA,Parrish,11.0
ALABAMA,Pelham,36.0
ALABAMA,Phenix City,235.0
ALABAMA,Piedmont,23.0
ALABAMA,Pine Hill,7.0
ALABAMA,Pleasant Grove,16.0
ALABAMA,Prattville,83.0
ALABAMA,Prichard,263.0
ALABAMA,Odenville,15.0
ALABAMA,Northport,89.0
ALABAMA,Newton,7.0
ALABAMA,New Hope,14.0
ALABAMA,Level Plains,7.0
ALABAMA,Lincoln,71.0
ALABAMA,Littleville,0.0
ALABAMA,Maplesville,3.0
ALABAMA,Margaret,9.0
ALABAMA,McIntosh,6.0
ALABAMA,Midland City,13.0
ALABAMA,Rainbow City,1.0
ALABAMA,Millbrook,44.0
ALABAMA,Montgomery,1216.0
ALABAMA,Moody,56.0
ALABAMA,Morris,2.0
ALABAMA,Moulton,7.0
ALABAMA,Mountain Brook,16.0
ALABAMA,Mount Vernon,10.0
ALABAMA,Muscle Shoals,86.0
ALABAMA,Mobile,1613.0
ALABAMA,Red Bay,7.0
ALABAMA,Reform,10.0
ALABAMA,Riverside,6.0
ALABAMA,Town Creek,4.0
ALABAMA,Triana,5.0
ALABAMA,Trinity,10.0
ALABAMA,Troy,303.0
ALABAMA,Trussville,113.0
ALABAMA,Tuscaloosa,514.0
ALABAMA,Tuscumbia,26.0
ALABAMA,Thorsby,6.0
ALABAMA,Union Springs,49.0
ALABAMA,Valley,54.0
ALABAMA,Vance,3.0
ALABAMA,Vestavia Hills,30.0
ALABAMA,Warrior,10.0
ALABAMA,Wedowee,4.0
ALABAMA,Wetumpka,28.0
ALABAMA,York,19.0
ALABAMA,Uniontown,18.0
ALABAMA,Leighton,3.0
ALABAMA,Thomasville,23.0
ALABAMA,Tarrant,109.0
ALABAMA,Roanoke,41.0
