State,City,Europe,Asia,Africa,Oceania,Americas
Alabama,La Fayette,0.0,0.0,0.0,0.0,0.0
Alabama,Altoona,0.0,0.0,0.0,0.0,0.0
Alabama,Benton,0.0,0.0,0.0,0.0,0.0
Alabama,Mosses,0.0,0.0,0.0,0.0,0.0
Alabama,Ohatchee,9.0,0.0,0.0,0.0,0.0
Alabama,Saks,65.0,168.0,58.0,0.0,0.0
Alabama,New Brockton,4.0,1.0,0.0,0.0,0.0
Alabama,Madrid,0.0,3.0,0.0,0.0,0.0
Alabama,Oakman,0.0,4.0,0.0,0.0,0.0
Alabama,Toxey,0.0,0.0,0.0,0.0,0.0
Alabama,Sylvan Springs,0.0,9.0,0.0,0.0,0.0
Alabama,Helena,23.0,304.0,35.0,0.0,0.0
Alabama,Hoover,901.0,3642.0,758.0,13.0,0.0
Alabama,Midfield,0.0,6.0,0.0,0.0,0.0
Alabama,Vestavia Hills,492.0,1115.0,130.0,0.0,0.0
Alabama,Andalusia,35.0,58.0,0.0,0.0,0.0
Alabama,Horn Hill,1.0,0.0,0.0,0.0,0.0
Alabama,Onycha,0.0,0.0,0.0,0.0,0.0
Alabama,Red Level,0.0,0.0,0.0,0.0,0.0
Alabama,Birmingham,675.0,2070.0,811.0,0.0,0.0
Alabama,Fort Deposit,0.0,0.0,0.0,0.0,0.0
Alabama,Reece City,4.0,18.0,3.0,0.0,0.0
Alabama,Trafford,0.0,0.0,0.0,0.0,0.0
Alabama,Rock Creek,0.0,0.0,0.0,0.0,0.0
Alabama,Babbie,0.0,0.0,0.0,0.0,0.0
Alabama,Shorter,0.0,0.0,0.0,0.0,0.0
Alabama,Tuskegee,0.0,27.0,27.0,0.0,0.0
Alabama,Clayton,0.0,5.0,0.0,0.0,0.0
Alabama,Heath,0.0,0.0,0.0,0.0,0.0
Alabama,Opp,12.0,12.0,0.0,0.0,0.0
Alabama,Hayneville,8.0,0.0,0.0,0.0,0.0
Alabama,Carrollton,0.0,0.0,0.0,0.0,0.0
Alabama,Boaz,48.0,16.0,0.0,0.0,0.0
Alabama,Rainbow City,26.0,172.0,91.0,0.0,0.0
Alabama,Lowndesboro,0.0,0.0,0.0,0.0,0.0
Alabama,Alexandria,52.0,0.0,0.0,0.0,0.0
Alabama,Brookside,0.0,3.0,0.0,0.0,0.0
Alabama,Forestdale,8.0,26.0,0.0,0.0,0.0
Alabama,Gardendale,27.0,240.0,0.0,0.0,0.0
Alabama,Grayson Valley,0.0,64.0,0.0,0.0,0.0
Alabama,Graysville,0.0,0.0,0.0,0.0,0.0
Alabama,Hueytown,23.0,31.0,17.0,0.0,0.0
Alabama,Berry,0.0,4.0,0.0,0.0,0.0
Alabama,Belk,0.0,0.0,0.0,0.0,0.0
Alabama,Anniston,120.0,217.0,24.0,0.0,0.0
Alabama,Atmore,6.0,13.0,0.0,0.0,0.0
Alabama,Mignon,0.0,29.0,0.0,0.0,0.0
Alabama,Triana,11.0,15.0,3.0,0.0,0.0
Alabama,Meadowbrook,128.0,57.0,0.0,0.0,0.0
Alabama,Dayton,0.0,0.0,0.0,0.0,0.0
Alabama,Demopolis,9.0,0.0,0.0,0.0,0.0
Alabama,Sweet Water,0.0,0.0,0.0,0.0,0.0
Alabama,Huguley,0.0,91.0,0.0,0.0,0.0
Alabama,Shiloh,0.0,0.0,0.0,0.0,0.0
Alabama,Ozark,183.0,124.0,0.0,0.0,0.0
Alabama,Goldville,0.0,0.0,0.0,0.0,0.0
Alabama,Waverly,0.0,0.0,0.0,0.0,0.0
Alabama,Valley,24.0,181.0,0.0,0.0,0.0
Alabama,Littleville,4.0,2.0,0.0,0.0,0.0
Alabama,Bear Creek,0.0,0.0,0.0,0.0,0.0
Alabama,Lexington,0.0,0.0,0.0,0.0,0.0
Alabama,Decatur,186.0,228.0,46.0,0.0,18.0
Alabama,Lincoln,0.0,60.0,0.0,0.0,0.0
Alabama,Woodland,0.0,0.0,0.0,0.0,0.0
Alabama,Fairhope,201.0,197.0,0.0,0.0,0.0
Alabama,Hartselle,26.0,185.0,0.0,0.0,0.0
Alabama,North Johns,0.0,0.0,0.0,0.0,0.0
Alabama,Powell,0.0,0.0,0.0,0.0,0.0
Alabama,Camp Hill,0.0,0.0,0.0,0.0,0.0
Alabama,Lineville,0.0,0.0,0.0,0.0,0.0
Alabama,Heflin,8.0,0.0,0.0,0.0,0.0
Alabama,Akron,0.0,0.0,0.0,0.0,0.0
Alabama,Moundville,5.0,17.0,13.0,0.0,0.0
Alabama,Guntersville,44.0,65.0,92.0,0.0,0.0
Alabama,Pollard,0.0,0.0,0.0,0.0,0.0
Alabama,Orange Beach,63.0,12.0,0.0,0.0,0.0
Alabama,Goshen,0.0,0.0,0.0,0.0,0.0
Alabama,Bay Minette,24.0,68.0,8.0,0.0,0.0
Alabama,Elberta,15.0,0.0,0.0,0.0,0.0
Alabama,Talladega,31.0,32.0,0.0,0.0,0.0
Alabama,New Site,0.0,0.0,0.0,0.0,0.0
Alabama,Wedowee,0.0,0.0,0.0,0.0,0.0
Alabama,Loxley,9.0,14.0,0.0,0.0,0.0
Alabama,Sylvania,0.0,0.0,0.0,0.0,0.0
Alabama,St. Florian,1.0,4.0,0.0,0.0,0.0
Alabama,Somerville,2.0,0.0,0.0,0.0,0.0
Alabama,Oak Grove,2.0,0.0,0.0,0.0,0.0
Alabama,Vincent,0.0,0.0,0.0,0.0,0.0
Alabama,Geraldine,0.0,0.0,0.0,0.0,0.0
Alabama,Point Clear,0.0,0.0,0.0,0.0,0.0
Alabama,Mountain Brook,153.0,253.0,67.0,0.0,0.0
Alabama,Brighton,0.0,0.0,0.0,0.0,0.0
Alabama,Allgood,0.0,0.0,0.0,0.0,0.0
Alabama,Rosa,0.0,0.0,0.0,0.0,0.0
Alabama,Brantley,0.0,0.0,0.0,0.0,0.0
Alabama,Deatsville,0.0,5.0,0.0,0.0,0.0
Alabama,Frisco City,0.0,20.0,0.0,0.0,0.0
Alabama,Courtland,0.0,12.0,0.0,0.0,0.0
Alabama,Aliceville,5.0,0.0,0.0,0.0,0.0
Alabama,Montgomery,989.0,4767.0,1069.0,0.0,0.0
Alabama,Arley,0.0,1.0,0.0,0.0,0.0
Alabama,Bridgeport,0.0,0.0,0.0,0.0,0.0
Alabama,Pleasant Groves,0.0,0.0,0.0,0.0,0.0
Alabama,Fayette,0.0,65.0,0.0,0.0,0.0
Alabama,Notasulga,0.0,0.0,0.0,0.0,0.0
Alabama,Baileyton,0.0,0.0,0.0,0.0,0.0
Alabama,West Point,12.0,7.0,0.0,0.0,0.0
Alabama,Oak Hill,0.0,0.0,0.0,0.0,0.0
Alabama,Midway,0.0,0.0,0.0,0.0,0.0
Alabama,Lakeview,0.0,2.0,0.0,0.0,0.0
Alabama,Dutton,0.0,0.0,0.0,0.0,0.0
Alabama,Addison,0.0,0.0,0.0,0.0,0.0
Alabama,Billingsley,0.0,0.0,0.0,0.0,0.0
Alabama,Winfield,35.0,4.0,0.0,0.0,0.0
Alabama,Meridianville,13.0,104.0,110.0,0.0,0.0
Alabama,Redstone Arsenal,3.0,23.0,0.0,0.0,0.0
Alabama,Ladonia,16.0,0.0,55.0,0.0,0.0
Alabama,York,0.0,0.0,0.0,0.0,0.0
Alabama,McKenzie,0.0,0.0,0.0,0.0,0.0
Alabama,Columbiana,0.0,3.0,8.0,0.0,0.0
Alabama,Centreville,0.0,37.0,0.0,0.0,0.0
Alabama,Luverne,0.0,100.0,0.0,0.0,0.0
Alabama,Rutledge,0.0,0.0,0.0,0.0,0.0
Alabama,Yellow Bluff,0.0,0.0,0.0,0.0,0.0
Alabama,West Blocton,2.0,0.0,0.0,0.0,0.0
Alabama,Gordo,0.0,0.0,0.0,0.0,0.0
Alabama,Brent,0.0,0.0,0.0,0.0,0.0
Alabama,Section,0.0,0.0,0.0,0.0,0.0
Alabama,Skyline,0.0,0.0,0.0,0.0,0.0
Alabama,South Vinemont,4.0,5.0,0.0,0.0,0.0
Alabama,Carolina,1.0,1.0,0.0,0.0,0.0
Alabama,River Falls,0.0,0.0,0.0,0.0,0.0
Alabama,Gu-Win,0.0,0.0,0.0,0.0,0.0
Alabama,Bon Air,0.0,0.0,0.0,0.0,0.0
Alabama,Waldo,0.0,0.0,0.0,0.0,0.0
Alabama,Newton,0.0,32.0,0.0,0.0,0.0
Alabama,Coffee Springs,0.0,0.0,0.0,0.0,0.0
Alabama,Linden,3.0,0.0,0.0,0.0,0.0
Alabama,Ethelsville,4.0,0.0,0.0,0.0,0.0
Alabama,Pine Apple,0.0,0.0,0.0,0.0,0.0
Alabama,Haleyville,0.0,0.0,0.0,0.0,0.0
Alabama,County Line,0.0,2.0,0.0,0.0,0.0
Alabama,Nauvoo,0.0,0.0,0.0,0.0,0.0
Alabama,Holt,3.0,0.0,17.0,0.0,0.0
Alabama,Northport,116.0,86.0,18.0,0.0,0.0
Alabama,Hillsboro,0.0,0.0,0.0,0.0,0.0
Alabama,Highland Lake,0.0,2.0,0.0,0.0,0.0
Alabama,Elmore,0.0,0.0,0.0,0.0,0.0
Alabama,Tallassee,0.0,25.0,0.0,0.0,0.0
Alabama,Elkmont,4.0,0.0,0.0,0.0,0.0
Alabama,Trussville,81.0,161.0,0.0,0.0,0.0
Alabama,Elba,0.0,25.0,0.0,0.0,0.0
Alabama,Columbia,4.0,12.0,0.0,0.0,0.0
Alabama,Grand Bay,0.0,0.0,0.0,0.0,0.0
Alabama,McDonald Chapel,8.0,0.0,0.0,0.0,0.0
Alabama,Sipsey,1.0,0.0,0.0,0.0,0.0
Alabama,Pelham,100.0,218.0,88.0,0.0,0.0
Alabama,Edgewater,0.0,0.0,0.0,0.0,0.0
Alabama,Vance,0.0,0.0,0.0,0.0,0.0
Alabama,Nectar,1.0,0.0,0.0,0.0,0.0
Alabama,Alexander City,9.0,65.0,0.0,0.0,0.0
Alabama,Taylor,17.0,0.0,0.0,0.0,0.0
Alabama,Webb,7.0,2.0,0.0,0.0,0.0
Alabama,Bayou La Batre,0.0,365.0,0.0,0.0,0.0
Alabama,Mooresville,0.0,3.0,0.0,0.0,0.0
Alabama,Tillmans Corner,139.0,414.0,51.0,0.0,0.0
Alabama,Carbon Hill,0.0,16.0,0.0,0.0,0.0
Alabama,Tuscaloosa,462.0,2181.0,290.0,8.0,0.0
