State,City,Median Income
Alabama,Abanda,13231
Alabama,North Courtland,14037
Alabama,North Johns,25500
Alabama,Northport,29264
Alabama,Notasulga,24965
Alabama,Oak Grove,25870
Alabama,Oak Hill,15417
Alabama,Newville,19786
Alabama,Oakman,16768
Alabama,Ohatchee,30027
Alabama,Oneonta,24573
Alabama,Onycha,13214
Alabama,Opelika,25313
Alabama,Opp,20467
Alabama,Orange Beach,36722
Alabama,Odenville,32426
Alabama,Orrville,13155
Alabama,New Union,25609
Alabama,New Site,26289
Alabama,Mulga,16780
Alabama,Munford,22254
Alabama,Muscle Shoals,27928
Alabama,Myrtlewood,20568
Alabama,Nanafalia,16667
Alabama,Nances Creek,30521
Alabama,Newton,23794
Alabama,Napier Field,22663
Alabama,Nauvoo,20125
Alabama,Nectar,26250
Alabama,Needham,31125
Alabama,Newbern,15208
Alabama,New Hope,24614
Alabama,New Market,32250
Alabama,Natural Bridge,-666666666
Alabama,Our Town,25899
Alabama,Owens Cross Roads,28333
Alabama,Oxford,27888
Alabama,Pine Hill,15599
Alabama,Pine Level,36831
Alabama,Pine Ridge,25573
Alabama,Pinson,32459
Alabama,Pisgah,17500
Alabama,Pleasant Grove,35050
Alabama,Pine Apple,23125
Alabama,Pleasant Groves,25052
Alabama,Pollard,21932
Alabama,Powell,16845
Alabama,Prattville,30692
Alabama,Priceville,42456
Alabama,Prichard,16669
Alabama,Providence,23594
Alabama,Point Clear,20812
Alabama,Pinckard,20903
Alabama,Pike Road,52297
Alabama,Piedmont,20760
Alabama,Ozark,20830
Alabama,Paint Rock,15972
Alabama,Panola,7875
Alabama,Parrish,14563
Alabama,Pelham,36613
Alabama,Pell City,24764
Alabama,Pennington,18542
Alabama,Penton,-666666666
Alabama,Perdido,17188
Alabama,Perdido Beach,25579
Alabama,Peterman,-666666666
Alabama,Petrey,32500
Alabama,Phenix City,24552
Alabama,Phil Campbell,14911
Alabama,Pickensville,17399
Alabama,Movico,38750
Alabama,Putnam,13667
Alabama,Mount Vernon,15508
Alabama,Mount Olive CDP (Coosa County),19167
Alabama,Loachapoka,25179
Alabama,Lockhart,18281
Alabama,Locust Fork,29044
Alabama,Lookout Mountain,17665
Alabama,Louisville,18611
Alabama,Lowndesboro,31786
Alabama,Livingston,10539
Alabama,Loxley,25741
Alabama,Lynn,23333
Alabama,McDonald Chapel,13696
Alabama,Macedonia,15795
Alabama,McIntosh,19609
Alabama,McKenzie,17350
Alabama,McMullen,16250
Alabama,Luverne,20757
Alabama,Madison,43721
Alabama,Littleville,24886
Alabama,Lipscomb,16970
Alabama,Lanett,20730
Alabama,Langston,28529
Alabama,Leeds,33468
Alabama,Leesburg,23726
Alabama,Leighton,15815
Alabama,Leroy,35875
Alabama,Lisman,22244
Alabama,Lester,26875
Alabama,Lexington,22386
Alabama,Libertyville,26786
Alabama,Lillian,29896
Alabama,Lincoln,30648
Alabama,Linden,16843
Alabama,Lineville,21096
Alabama,Level Plains,27404
Alabama,Madrid,24167
Alabama,Magnolia Springs,32842
Alabama,Malcolm,18560
Alabama,Minor,20509
Alabama,Mobile,23988
Alabama,Monroeville,18809
Alabama,Montevallo,15431
Alabama,Montgomery,25038
Alabama,Moody,30315
Alabama,Millry,16432
Alabama,Moores Mill,34051
Alabama,Morris,38989
Alabama,Morrison Crossroads,11123
Alabama,Mosses,13142
Alabama,Moulton,20944
Alabama,Moundville,24531
Alabama,Mountain Brook,69446
Alabama,Mooresville,33333
Alabama,Millport,22679
Alabama,Millerville,21818
Alabama,Millbrook,31643
Alabama,Malvern,22610
Alabama,Maplesville,20366
Alabama,Marbury,29201
Alabama,Margaret,36615
Alabama,Marion,15353
Alabama,Maytown,26250
Alabama,Meadowbrook,44646
Alabama,Megargel,-666666666
Alabama,Memphis,5833
Alabama,Mentone,24565
Alabama,Meridianville,35034
Alabama,Midfield,21746
Alabama,Midland City,17500
Alabama,Midway,12714
Alabama,Mignon,16700
Alabama,Mount Olive CDP (Jefferson County),36909
Alabama,Ragland,22125
Alabama,Rainbow City,29935
Alabama,Rainsville,20547
Alabama,Troy,17856
Alabama,Trussville,45403
Alabama,Tuscaloosa,20264
Alabama,Tuscumbia,22751
Alabama,Tuskegee,11865
Alabama,Twin,22176
Alabama,Trinity,32778
Alabama,Underwood-Petersville,27234
Alabama,Union Grove,43750
Alabama,Union Springs,20504
Alabama,Uniontown,11161
Alabama,Uriah,-666666666
Alabama,Valley,23939
Alabama,Valley Grande,30942
Alabama,Union,12625
Alabama,Valley Head,16500
Alabama,Triana,30854
Alabama,Toxey,13750
Alabama,Sylvan Springs,33839
Alabama,Talladega,17197
Alabama,Talladega Springs,25500
Alabama,Tallassee,21387
Alabama,Tarrant,17607
Alabama,Taylor,25032
Alabama,Trafford,19068
Alabama,Theodore,30410
Alabama,Thomasville,18975
Alabama,Thorsby,30083
Alabama,Tibbie,-666666666
Alabama,Tidmore Bend,21523
Alabama,Tillmans Corner,25761
Alabama,Town Creek,22763
Alabama,Thomaston,19375
Alabama,Vance,40000
Alabama,Vandiver,27672
Alabama,Vernon,20229
Alabama,West Point,32381
Alabama,Wetumpka,28518
Alabama,Whatley,9196
Alabama,White Hall,18386
Alabama,White Plains,31387
Alabama,Whitesboro,21341
Alabama,Westover,35536
Alabama,Wilsonville,27778
Alabama,Winfield,22473
Alabama,Woodland,23750
Alabama,Woodstock,24684
Alabama,Woodville,17981
Alabama,Yellow Bluff,16750
Alabama,York,13855
Alabama,Wilton,14327
Alabama,West Jefferson,31029
Alabama,West End-Cobb Town,18158
Alabama,West Blocton,20511
Alabama,Vestavia Hills,51604
Alabama,Vina,16705
Alabama,Vincent,20408
Alabama,Vinegar Bend,49948
Alabama,Vredenburgh,11833
Alabama,Wadley,12176
Alabama,Waldo,19615
Alabama,Walnut Grove,17222
Alabama,Warrior,21108
Alabama,Waterloo,25547
Alabama,Waverly,41528
Alabama,Weaver,28142
Alabama,Webb,21273
Alabama,Wedowee,22604
Alabama,Weogufka,-666666666
Alabama,Sylvania,23997
Alabama,Sylacauga,19971
Alabama,Sweet Water,36563
Alabama,Susan Moore,18850
Alabama,Rock Mills,14788
Alabama,Rockville,-666666666
Alabama,Rogersville,25152
Alabama,Rosa,25625
Alabama,Russellville,22831
Alabama,Rutledge,14900
Alabama,Rockford,14965
Alabama,St. Florian,30357
Alabama,Saks,20801
Alabama,Samson,16600
Alabama,Sand Rock,31818
Alabama,Sanford,17813
