State,City,Population,Never Married,Married,Divorced,Separated,Widowed,Total
Alabama,La Fayette,2945,931,827,252,69,236,2315
Alabama,Altoona,890,205,286,130,52,42,715
Alabama,Benton,47,0,37,0,0,6,43
Alabama,Mosses,1073,473,191,63,32,84,843
Alabama,Ohatchee,1293,164,708,122,2,45,1041
Alabama,Saks,10763,1923,4021,1428,333,846,8551
Alabama,New Brockton,1127,258,412,181,9,71,931
Alabama,Madrid,301,61,100,45,4,37,247
Alabama,Oakman,691,176,143,121,37,79,556
Alabama,Toxey,118,21,44,9,0,25,99
Alabama,Sylvan Springs,1670,237,818,166,12,110,1343
Alabama,Helena,17861,3612,8445,1477,78,380,13992
Alabama,Hoover,84480,17070,40348,5848,511,3176,66953
Alabama,Midfield,5158,1769,1480,524,271,276,4320
Alabama,Vestavia Hills,34163,5519,16764,2344,314,1572,26513
Alabama,Andalusia,8864,2205,3017,1091,195,742,7250
Alabama,Horn Hill,262,35,138,22,0,14,209
Alabama,Onycha,119,16,54,9,0,4,83
Alabama,Red Level,324,74,116,31,14,25,260
Alabama,Birmingham,212021,81265,49272,25625,6685,12242,175089
Alabama,Fort Deposit,1630,500,416,129,107,43,1195
Alabama,Reece City,729,109,384,67,11,58,629
Alabama,Trafford,640,102,280,99,8,41,530
Alabama,Rock Creek,1369,86,712,200,31,66,1095
Alabama,Babbie,557,101,251,65,4,44,465
Alabama,Shorter,433,100,160,31,26,62,379
Alabama,Tuskegee,8699,4703,1313,708,244,428,7396
Alabama,Clayton,2900,1210,544,504,231,122,2611
Alabama,Heath,339,76,96,48,11,6,237
Alabama,Opp,6520,1322,2404,697,175,697,5295
Alabama,Hayneville,1028,430,217,68,43,62,820
Alabama,Carrollton,1056,344,308,112,33,53,850
Alabama,Boaz,9553,1951,3759,952,108,729,7499
Alabama,Rainbow City,9581,1860,3991,1133,191,551,7726
Alabama,Lowndesboro,99,18,50,10,0,10,88
Alabama,Alexandria,4000,579,2004,372,24,152,3131
Alabama,Brookside,1538,266,544,122,27,119,1078
Alabama,Forestdale,9273,2603,3188,1236,315,464,7806
Alabama,Gardendale,13875,2576,6510,1141,105,1084,11416
Alabama,Grayson Valley,5986,1364,1839,1241,109,284,4837
Alabama,Graysville,1965,410,801,247,35,189,1682
Alabama,Hueytown,15583,3265,5832,1752,379,949,12177
Alabama,Berry,1400,318,616,98,20,44,1096
Alabama,Belk,243,38,153,14,0,17,222
Alabama,Anniston,21924,6541,6771,2475,690,1628,18105
Alabama,Atmore,9746,4020,2477,1100,186,595,8378
Alabama,Mignon,974,214,433,61,40,33,781
Alabama,Triana,686,166,244,119,25,25,579
Alabama,Meadowbrook,9387,1817,4981,386,35,405,7624
Alabama,Dayton,26,2,10,0,3,1,16
Alabama,Demopolis,6918,2089,1887,930,85,585,5576
Alabama,Sweet Water,326,59,152,11,0,10,232
Alabama,Huguley,2273,580,893,227,104,192,1996
Alabama,Shiloh,321,42,156,35,6,15,254
Alabama,Ozark,14456,3081,5423,1865,459,1085,11913
Alabama,Goldville,33,2,20,0,0,6,28
Alabama,Waverly,154,22,86,25,0,4,137
Alabama,Valley,9305,2538,3302,920,225,576,7561
Alabama,Littleville,1104,157,509,111,26,43,846
Alabama,Bear Creek,1256,295,574,88,13,79,1049
Alabama,Lexington,927,162,443,72,2,48,727
