State,City,Female,Male
Alabama,La Fayette,1635.0,1310.0
Alabama,Altoona,479.0,411.0
Alabama,Benton,22.0,25.0
Alabama,Mosses,615.0,458.0
Alabama,Ohatchee,652.0,641.0
Alabama,Saks,5493.0,5270.0
Alabama,New Brockton,526.0,601.0
Alabama,Madrid,159.0,142.0
Alabama,Oakman,430.0,261.0
Alabama,Toxey,50.0,68.0
Alabama,Sylvan Springs,824.0,846.0
Alabama,Helena,9022.0,8839.0
Alabama,Hoover,44574.0,39906.0
Alabama,Midfield,2752.0,2406.0
Alabama,Vestavia Hills,17393.0,16770.0
Alabama,Andalusia,4753.0,4111.0
Alabama,Horn Hill,118.0,144.0
Alabama,Onycha,68.0,51.0
Alabama,Red Level,160.0,164.0
Alabama,Birmingham,112651.0,99370.0
Alabama,Fort Deposit,930.0,700.0
Alabama,Reece City,361.0,368.0
Alabama,Trafford,337.0,303.0
Alabama,Rock Creek,747.0,622.0
Alabama,Babbie,293.0,264.0
Alabama,Shorter,234.0,199.0
Alabama,Tuskegee,4997.0,3702.0
Alabama,Clayton,868.0,2032.0
Alabama,Heath,178.0,161.0
Alabama,Opp,3577.0,2943.0
Alabama,Hayneville,516.0,512.0
Alabama,Carrollton,594.0,462.0
Alabama,Boaz,4775.0,4778.0
Alabama,Rainbow City,5111.0,4470.0
Alabama,Lowndesboro,52.0,47.0
Alabama,Alexandria,2230.0,1770.0
Alabama,Brookside,795.0,743.0
Alabama,Forestdale,5112.0,4161.0
Alabama,Gardendale,7204.0,6671.0
Alabama,Grayson Valley,3436.0,2550.0
Alabama,Graysville,1090.0,875.0
Alabama,Hueytown,8035.0,7548.0
Alabama,Berry,763.0,637.0
Alabama,Belk,114.0,129.0
Alabama,Anniston,11957.0,9967.0
Alabama,Atmore,3929.0,5817.0
Alabama,Mignon,569.0,405.0
Alabama,Triana,379.0,307.0
Alabama,Meadowbrook,4723.0,4664.0
Alabama,Dayton,16.0,10.0
Alabama,Demopolis,3754.0,3164.0
Alabama,Sweet Water,163.0,163.0
Alabama,Huguley,1167.0,1106.0
Alabama,Shiloh,164.0,157.0
Alabama,Ozark,7792.0,6664.0
Alabama,Goldville,20.0,13.0
Alabama,Waverly,74.0,80.0
Alabama,Valley,4819.0,4486.0
