State,City,Unemployment Count
Alabama,La Fayette,92
Alabama,Altoona,0
Alabama,Benton,0
Alabama,Mosses,121
Alabama,Ohatchee,56
Alabama,Saks,517
Alabama,New Brockton,47
Alabama,Madrid,2
Alabama,Oakman,37
Alabama,Toxey,8
Alabama,Sylvan Springs,42
Alabama,Helena,251
Alabama,Hoover,1593
Alabama,Midfield,197
Alabama,Vestavia Hills,390
Alabama,Andalusia,351
Alabama,Horn Hill,11
Alabama,Onycha,7
Alabama,Red Level,0
Alabama,Birmingham,10574
Alabama,Fort Deposit,66
Alabama,Reece City,13
Alabama,Trafford,19
Alabama,Rock Creek,56
Alabama,Babbie,4
Alabama,Shorter,27
Alabama,Tuskegee,534
Alabama,Clayton,66
Alabama,Heath,11
Alabama,Opp,281
Alabama,Hayneville,75
Alabama,Carrollton,101
Alabama,Boaz,173
Alabama,Rainbow City,270
Alabama,Lowndesboro,0
Alabama,Alexandria,42
Alabama,Brookside,83
Alabama,Forestdale,514
Alabama,Gardendale,346
Alabama,Grayson Valley,188
Alabama,Graysville,130
Alabama,Hueytown,524
Alabama,Berry,76
Alabama,Belk,0
Alabama,Anniston,1021
Alabama,Atmore,540
Alabama,Mignon,33
Alabama,Triana,27
Alabama,Meadowbrook,205
Alabama,Dayton,3
Alabama,Demopolis,336
Alabama,Sweet Water,10
Alabama,Huguley,33
Alabama,Shiloh,6
Alabama,Ozark,756
Alabama,Goldville,0
Alabama,Waverly,1
Alabama,Valley,246
Alabama,Littleville,6
Alabama,Bear Creek,48
Alabama,Lexington,27
Alabama,Decatur,1388
Alabama,Lincoln,196
Alabama,Woodland,7
Alabama,Fairhope,379
Alabama,Hartselle,220
Alabama,North Johns,7
Alabama,Powell,18
Alabama,Camp Hill,60
Alabama,Lineville,21
Alabama,Heflin,174
Alabama,Akron,2
Alabama,Moundville,83
Alabama,Guntersville,191
Alabama,Pollard,0
Alabama,Orange Beach,146
Alabama,Goshen,17
Alabama,Bay Minette,247
Alabama,Elberta,81
Alabama,Talladega,969
Alabama,New Site,7
Alabama,Wedowee,6
Alabama,Loxley,66
Alabama,Sylvania,44
Alabama,St. Florian,6
Alabama,Somerville,6
Alabama,Oak Grove,34
Alabama,Vincent,88
Alabama,Geraldine,19
Alabama,Point Clear,263
Alabama,Mountain Brook,176
Alabama,Brighton,175
Alabama,Allgood,28
Alabama,Rosa,7
Alabama,Brantley,21
Alabama,Deatsville,22
Alabama,Frisco City,105
Alabama,Courtland,34
Alabama,Aliceville,227
Alabama,Montgomery,7537
Alabama,Arley,16
Alabama,Bridgeport,51
Alabama,Pleasant Groves,8
Alabama,Fayette,147
Alabama,Notasulga,21
Alabama,Baileyton,23
Alabama,West Point,2
Alabama,Oak Hill,0
Alabama,Midway,74
Alabama,Lakeview,0
Alabama,Dutton,17
Alabama,Addison,9
Alabama,Billingsley,7
Alabama,Winfield,124
Alabama,Meridianville,468
Alabama,Redstone Arsenal,46
Alabama,Ladonia,12
Alabama,York,206
Alabama,McKenzie,16
Alabama,Columbiana,59
Alabama,Centreville,58
Alabama,Luverne,40
Alabama,Rutledge,11
Alabama,Yellow Bluff,6
Alabama,West Blocton,47
Alabama,Gordo,73
Alabama,Brent,29
Alabama,Section,21
Alabama,Skyline,33
Alabama,South Vinemont,24
Alabama,Carolina,4
Alabama,River Falls,28
Alabama,Gu-Win,16
Alabama,Bon Air,0
Alabama,Waldo,7
Alabama,Newton,57
Alabama,Coffee Springs,0
Alabama,Linden,82
Alabama,Ethelsville,19
Alabama,Pine Apple,0
Alabama,Haleyville,134
Alabama,County Line,5
Alabama,Nauvoo,9
Alabama,Holt,162
Alabama,Northport,587
Alabama,Hillsboro,29
Alabama,Highland Lake,2
Alabama,Elmore,72
Alabama,Tallassee,412
Alabama,Elkmont,1
Alabama,Trussville,364
Alabama,Elba,190
Alabama,Columbia,3
Alabama,Grand Bay,106
Alabama,McDonald Chapel,19
Alabama,Sipsey,32
Alabama,Pelham,518
Alabama,Edgewater,72
Alabama,Vance,20
Alabama,Nectar,8
Alabama,Alexander City,677
Alabama,Taylor,104
Alabama,Webb,52
Alabama,Bayou La Batre,24
Alabama,Mooresville,0
Alabama,Tillmans Corner,419
Alabama,Carbon Hill,51
Alabama,Tuscaloosa,3519
Alabama,Oneonta,108
Alabama,Susan Moore,26
Alabama,Fulton,16
Alabama,Gaylesville,9
Alabama,Glenwood,8
Alabama,Marion,147
Alabama,Langston,12
Alabama,Hazel Green,109
Alabama,Madison,1242
Alabama,Edwardsville,1
Alabama,Lake View,93
Alabama,Snead,12
Alabama,Robertsdale,79
Alabama,Garden City,28
Alabama,Georgiana,101
Alabama,Ider,39
Alabama,Pine Ridge,9
Alabama,Sand Rock,2
Alabama,Valley Head,47
Alabama,Waterloo,2
Alabama,Eva,41
Alabama,Falkville,49
Alabama,Priceville,72
Alabama,Fyffe,25
Alabama,Childersburg,178
Alabama,Avon,19
Alabama,West End-Cobb Town,127
Alabama,Kinston,54
Alabama,Rehobeth,34
Alabama,Ardmore,68
Alabama,Athens,1173
Alabama,Citronelle,15
Alabama,Dauphin Island,26
Alabama,Attalla,285
Alabama,Fort Payne,429
